url,verdict,coverageState,indexingState,pageFetchState,robotsTxtState,lastCrawlTime,googleCanonical,userCanonical,referringUrls
https://risclens.com,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-27T14:54:57Z,https://risclens.com,https://risclens.com/,"https://risclens.com/ai-governance/ai-policy-development/edtech,https://risclens.com/hipaa/for/cmo/devtools,https://www.risclens.com/privacy,https://risclens.com/sitemap.xml"
https://risclens.com/soc-2-readiness-calculator,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-18T20:43:31Z,https://risclens.com/soc-2-readiness-calculator,https://risclens.com/soc-2-readiness-calculator,https://risclens.com/sitemap.xml
https://risclens.com/soc-2-cost,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-03T05:05:37Z,https://risclens.com/soc-2-cost,https://risclens.com/soc-2-cost,https://risclens.com/sitemap.xml
https://risclens.com/soc-2-timeline,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-16T09:23:25Z,https://risclens.com/soc-2-timeline,https://risclens.com/soc-2-timeline,https://risclens.com/sitemap.xml
https://risclens.com/auditor-match,NEUTRAL,Excluded by ‘noindex’ tag,BLOCKED_BY_META_TAG,SUCCESSFUL,ALLOWED,2026-01-07T07:44:46Z,https://risclens.com/auditor-match,,"https://risclens.com/ai-governance/ai-policy-development/edtech,https://www.risclens.com/sitemap.xml"
https://risclens.com/compliance-roi-calculator,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-21T07:26:09Z,https://risclens.com/compliance-roi-calculator,,"https://risclens.com/ai-governance/ai-policy-development/edtech,https://risclens.com/hipaa/for/cmo/devtools"
https://risclens.com/ai-governance-readiness-index,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-20T11:48:08Z,https://risclens.com/ai-governance-readiness-index,,"https://risclens.com/ai-governance/ai-policy-development/edtech,https://risclens.com/tools"
https://risclens.com/iso-42001-calculator,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-09T15:14:11Z,https://risclens.com/iso-42001-calculator,https://risclens.com/iso-42001-calculator,"https://risclens.com/ai-governance/ai-policy-development/edtech,https://risclens.com/compliance/directory/statsig"
https://risclens.com/soc-2,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,
https://risclens.com/penetration-testing,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-16T04:09:29Z,https://risclens.com/penetration-testing,https://risclens.com/penetration-testing,"https://risclens.com/ai-governance/ai-policy-development/edtech,https://risclens.com/sitemap.xml,https://www.risclens.com/penetration-testing/cost-estimator"
https://risclens.com/vendor-risk-assessment,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-21T21:55:53Z,https://risclens.com/vendor-risk-assessment,https://risclens.com/vendor-risk-assessment,"https://risclens.com/vendor-risk-assessment/industries/saas,https://risclens.com/sitemap.xml"
https://risclens.com/ai-compliance,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-12T13:57:46Z,https://risclens.com/ai-compliance,https://risclens.com/ai-compliance,https://risclens.com/compliance/directory/gong
https://risclens.com/ai-governance,NEUTRAL,Discovered - currently not indexed,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,"https://risclens.com/ai-governance/ai-policy-development/edtech,https://risclens.com/compliance/directory/automattic"
https://risclens.com/tools,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-11T20:42:11Z,https://risclens.com/tools,https://risclens.com/tools,"https://risclens.com/ai-governance/ai-policy-development/edtech,https://risclens.com/pricing/vanta-pricing"
https://risclens.com/soc-2-evidence/vault,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-18T05:50:18Z,https://risclens.com/soc-2-evidence/vault,https://risclens.com/soc-2-evidence/vault,"https://risclens.com/ai-governance/ai-policy-development/edtech,https://risclens.com/sitemap.xml"
https://risclens.com/soc-2-timeline/estimator,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,
https://risclens.com/penetration-testing/cost-estimator,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-18T05:47:02Z,https://risclens.com/penetration-testing/cost-estimator,https://risclens.com/penetration-testing/cost-estimator,"https://risclens.com/penetration-testing,https://risclens.com/sitemap.xml,https://www.risclens.com/penetration-testing/cost-estimator"
https://risclens.com/soc-2-audit-delay-cost,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-08T22:55:32Z,https://risclens.com/soc-2-audit-delay-cost,https://risclens.com/soc-2-audit-delay-cost,https://risclens.com/iso-42001-calculator
https://risclens.com/ai-governance/risk-classifier,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-13T13:54:14Z,https://risclens.com/ai-governance/risk-classifier,,https://risclens.com/sitemap.xml
https://risclens.com/ai-governance/vendor-risk-questionnaire,NEUTRAL,Discovered - currently not indexed,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,
https://risclens.com/soc-2/guides,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-16T10:09:39Z,https://risclens.com/soc-2/guides,https://risclens.com/soc-2/guides,https://risclens.com/sitemap.xml
https://risclens.com/soc-2/industries,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-12T13:55:41Z,https://risclens.com/soc-2/industries,,"https://risclens.com/ai-governance/ai-policy-development/edtech,https://risclens.com/hipaa/for/cmo/devtools,https://risclens.com/sitemap.xml,https://www.risclens.com/soc-2/industries"
https://risclens.com/soc-2-cost/industries,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-16T03:55:27Z,https://risclens.com/soc-2-cost/industries,https://risclens.com/soc-2-cost/industries,https://risclens.com/sitemap.xml
https://risclens.com/soc-2-sales,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,
https://risclens.com/learn/soc-2-readiness,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-22T23:14:17Z,https://risclens.com/learn/soc-2-readiness,https://risclens.com/learn/soc-2-readiness,https://risclens.com/sitemap.xml
https://risclens.com/compliance/directory,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,2026-01-08T08:31:38Z,https://risclens.com/compliance/directory,https://risclens.com/compliance/directory,https://risclens.com/ai-governance/ai-policy-development/edtech
https://risclens.com/compliance/migrate,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,
https://risclens.com/ai-compliance/eu-ai-act,NEUTRAL,Discovered - currently not indexed,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,https://risclens.com/ai-compliance
https://risclens.com/ai-compliance/iso-42001,NEUTRAL,Discovered - currently not indexed,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,https://risclens.com/iso-27001
